"Data Source","World Development Indicators",

"Last Updated Date","2024-06-28",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023",
"Botswana","BWA","Current account balance (BoP, current US$)","BN.CAB.XOKA.CD","","","","","","","","","","","","","","","","-35564200.321215","-20355005.1121595","-26960911.4612706","-115557798.962706","-60613001.1950164","-151050210.879797","-303679167.286881","-144610725.493436","-78947908.2670797","-58765840.3524042","81941938.0944085","108666489.586232","628491474.535782","193920170.6235","491888911.820067","-19296242.5629065","302934867.024916","197703492.161301","426936846.775275","221630751.620652","299652984.02476","494954771.027386","721431864.934183","169705244.824747","583453155.307172","545147749.110276","595211329.606014","263353892.002871","716788889.541383","316806215.974861","1597510497.87463","1950580298.90436","1654312720.13206","149529674.393532","-648182389.002999","-744133493.778199","-131913618.139118","-820817535.451957","646614169.091273","1713317042.24251","301219213.709232","1202538243.38697","899603267.585629","66926398.9189691","-1154933120.42886","-1531276190.35165","-250118203.77303","606393880.12652","",
"Central African Republic","CAF","Current account balance (BoP, current US$)","BN.CAB.XOKA.CD","","","","","","","","","","","","","","","","","","-18894521.0117812","-22986329.6908052","-15955123.0048492","-43051964.8820073","-4180369.99268756","-42642700.1586958","-29309880.5564455","-33446332.8679035","-48615805.945227","-86517658.2475317","-73427464.2049552","-34608362.7963956","-33425568.4140533","-89131983.8728681","-61770908.3183403","-83055084.9616822","-12950157.4907067","-24675583.8111569","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Canada","CAN","Current account balance (BoP, current US$)","BN.CAB.XOKA.CD","-1187187628.36973","-1105883473.51165","-1080531891.70754","-841511701.644184","-453738889.110735","-1657803080.86996","-1578616023.55034","-1278892821.91933","-980740554.318042","-1945698726.39951","493731567.608133","-1038600163.22758","-2404308515.17579","-2056301251.05484","-4570220597.29524","-8196398662.6733","-7638587863.32719","-7002658577.45664","-8188226093.99116","-8384719674.32234","-6088019706.46295","-12532212145.4235","1796486978.15353","-2522643418.79919","-1373618096.22284","-5838917859.28511","-11351388394.9965","-13711713496.4376","-15285075070.66","-22216034255.5586","-20259435863.9883","-22874763553.8336","-21718992367.3542","-22353009553.3951","-13907010266.7101","-5061141976.25065","2428067198.30117","-8985483076.79472","-8999712921.89456","845351118.081352","18494424438.8816","15757824510.9175","12512912205.0114","10432942306.8006","23235547976.4209","21933097496.4069","17990236971.1871","11050809835.8733","3177944944.24201","-40775263975.9539","-58162670440.4459","-49746988786.878","-64582432568.5321","-58110120944.9089","-41873919951.8706","-54695520049.8056","-47262580270.0756","-46235966235.5002","-41150336771.2767","-34032332330.5444","-33287434317.3917","256504117.924903","-7622082461.7154","-13254649973.1543",
"Central Europe and the Baltics","CEB","Current account balance (BoP, current US$)","BN.CAB.XOKA.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Switzerland","CHE","Current account balance (BoP, current US$)","BN.CAB.XOKA.CD","","","","","","","","","","","","","","","","","","1923841028.9915","2075474341.58199","-245380318.980434","-201108977.036002","3426767759.23836","2534139470.71414","1211923921.81452","6141678667.22645","6038764816.60477","4654467967.26312","6287588785.25563","8845759584.50079","7280896129.10127","6123636014.61318","9534434765.42748","13370612197.4895","16875486425.2117","16729198997.5817","20702527127.2048","19915939191.4305","25316670255.3723","25194278318.4895","28283270188.0401","29288780969.439","19103243195.9331","21256501853.0357","39074498538.4175","50439617363.6772","47532417798.3125","55133415011.774","40831622534.0376","7524476800.82068","32421182040.3127","78049933455.317","44465235711.7694","60935775785.3669","67846358374.1688","49891177141.2646","61630612275.2152","50054111398.8543","37152296363.0324","36640627136.0345","30805804824.0669","2450591750.91148","56091488478.7512","77244839042.4674","67821236539.8325",
"Channel Islands","CHI","Current account balance (BoP, current US$)","BN.CAB.XOKA.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Chile","CHL","Current account balance (BoP, current US$)","BN.CAB.XOKA.CD","","","","","","","","","","","","","","","","-490000000","148000000","-551000000","-1088000000","-1189000000","-1971000000","-4733000000","-2304000000","-1117000000","-2111000000","-1412980000","-1191440000","-734900000","-231400000","-690860000","-484610000","-97700000","-956900000","-2552200000","-1587000000","-1349600000","-3082652307.59382","-3660191808.39716","-3918430456.4206","99338040.6829709","-897526442.929414","-1100127918.63704","-580075884.957633","164153378.691133","3230434888.42407","2337151911.98815","8455912547.51398","8720422182.29573","-7534471017.57505","2473170320.21126","1946692533.49391","-12360830621.9413","-14228392009.9749","-13248567562.3379","-8981588318.72441","-6631182622.09829","-6534477430.03373","-7615781653.39981","-13265293208.0353","-14505468953.6712","-4952326391.70704","-22962267945.5466","-26161979059.6036","-11899037356.0678",
"China","CHN","Current account balance (BoP, current US$)","BN.CAB.XOKA.CD","","","","","","","","","","","","","","","","","","","","","","","5674000000","4240000000","2030000000","-11417000000","-7034000000","300000000","-3802000000","-4317000000","11997000000","13272000000","6401000000","-11609000000","6908000000","1618390000","7243000000","36963000000","31472000000","21115000000","20518382000","17401000000","35421997979.6472","43051582861.334","68940960688.562","132378493766.399","231843041064.414","353182677237.316","420568516143.545","243256567919.618","237810389607.955","136096761577.55","215391747469.442","148203949879.877","236046577873.629","293022317035.547","191337035941.994","188676126121.162","24130909184.4985","102909876008.388","248835643936.04","352885754634.63","443374257116.43","252987271344.74",
"Cote d'Ivoire","CIV","Current account balance (BoP, current US$)","BN.CAB.XOKA.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","39690446.8140347","479390726.766612","-139224344.56784","453391411.416661","1624099251.53341","464985734.719055","2666211854.50729","-320534296.113486","-632903985.211776","510714255.800385","-201372902.110014","-414272956.17827","-1049091688.73414","-2284501507.15009","-1348827419.86918","-1974306752.68546","-2874116508.89644","-5393827498.95112","",
"Cameroon","CMR","Current account balance (BoP, current US$)","BN.CAB.XOKA.CD","","","","","","","","","","","","","","","","","","-92399291.6030053","-186359144.213671","-125679683.854947","-445401476.803043","-481672021.29742","-385740988.672276","-411858867.657932","-168918352.273883","-561519691.000966","-451825967.718101","-892736636.953962","-426458820.212142","-289898413.76684","-551191364.581226","-335688340.281581","-365783903.110902","-512249889.290159","-56069410.5139645","89853033.0312363","-286663480.265121","-582196044.70569","-150780799.100466","-509552038.844446","-218400391.176048","-347657566.842622","-439310637.825345","-597885392.057052","-416181816.142272","-495561604.1573","193518455.417047","286074705.384054","-451560496.167241","-1123176667.55155","-857140093.126026","-749196879.802832","-955933681.046118","-1128087432.11619","-1401974731.54436","-1173691255.37907","-1037444249.38414","-949763043.433564","-1409334283.70355","-1695070703.44845","-1512407003.60836","-1794494946.5145","-1505133035.82016","",
